  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      436        4.548        4.249            0      329.204      117.616       93.816
      437        4.329        4.409            0      328.182      137.525       95.677
      438        4.096        4.389            0      328.006      144.850       96.392
      439        4.385        4.225            0      326.509      151.167       95.110
      440        4.630        4.163            0      325.433      108.348       79.615
      441        4.248        4.295            0      315.944      114.670       95.367
      442        4.047        4.418            0      337.233      143.340       93.241
      443        4.538        4.030            0      325.413      161.562       97.820
      444        4.358        4.172            0      323.417      101.958       73.815
      445        4.769        3.960            0      319.691      119.881       89.216
      446        4.654        3.859            0      322.709      115.325       74.289
      447        4.697        3.791            0      317.833       91.246       78.954
      448        4.250        4.213            0      325.668      114.354       95.647
      449        4.244        4.034            0      323.947       71.495       90.179
      450        3.981        4.248            0      320.753       91.732       97.447
      451        4.074        4.163            0      328.319      104.407       93.441
      452        3.845        4.693            0      354.368       91.601       98.701
      453        3.287        4.703            0      334.271       93.864       99.899
      454        3.754        4.583            0      323.098      101.487       97.420
      455        4.322        4.023            0      330.011      101.704       88.441
      456        4.868        4.030            0      314.022       73.362       86.120
      457        4.683        3.880            0      322.109       92.988       72.112
      458        4.514        3.948            0      315.665       77.695       82.602
      459        4.556        4.036            0      318.552      122.871       94.326
      460        4.442        3.855            0      314.996       83.493       89.452
      461        4.407        4.023            0      318.536       84.698       92.012
      462        4.238        4.144            0      325.984       90.893       79.259
      463        4.610        4.211            0      336.769      122.445       88.289
      464        4.580        3.995            0      318.985      104.326       92.058
      465        4.081        4.220            0      323.624      112.881       91.539
      466        3.619        4.382            0      326.503       94.446       95.885
      467        4.131        4.162            0      315.951       72.924       90.612
      468        4.715        3.923            0      324.306       74.338       74.680
      469        3.704        4.659            0      328.826       89.300       94.930
      470        2.959        5.079            0      348.430      119.667       95.848
      471        3.958        4.389            0      335.213      120.586       93.287
      472        3.847        4.362            0      335.365      115.104       92.039
      473        3.432        4.733            0      341.439      142.569       91.528
      474        4.459        3.953            0      317.929      110.499       90.100
      475        4.358        4.347            0      321.845      132.621       97.779
      476        4.320        4.140            0      328.907      108.604       94.944
      477        4.702        3.930            0      326.165      102.297       71.979
      478        4.456        3.902            0      311.526       79.241       92.380
      479        4.514        4.005            0      326.187       73.829       90.281
      480        3.832        4.370            0      325.030       72.472       97.929
      481        3.655        4.755            0      334.644       76.357       97.927
      482        3.982        4.392            0      337.175       86.635       95.636
      483        4.147        4.270            0      338.628       95.648       96.355
      484        4.486        3.955            0      325.053       92.461       89.409
      485        4.777        3.983            0      318.703       93.741       74.167
      486        4.211        4.320            0      343.806       80.632       96.871
      487        4.040        4.385            0      336.987       71.887       95.662
      488        3.539        4.246            0      321.893       84.645       96.961
      489        3.960        4.463            0      335.585       67.639       99.406
      490        3.969        4.084            0      321.559       93.434       89.430
      491        3.131        4.793            0      330.758       81.883       91.165
      492        3.595        4.796            0      351.862       81.682       98.585
      493        3.437        4.637            0      344.467      120.069       89.552
      494        3.565        4.728            0      337.152       81.608       97.438
      495        3.694        4.687            0      333.305       96.707       98.048
      496        3.310        4.670            0      336.469      113.333       95.818
      497        3.460        4.483            0      334.353      116.564       95.218
      498        4.677        3.926            0      320.002      107.173       82.362
      499        4.247        4.055            0      329.184       98.959       81.889
      500        3.699        4.320            0      335.487      110.670       89.590
      501        4.283        3.906            0      313.332       99.382       81.981
      502        4.084        4.216            0      330.764      105.143       91.659
      503        3.759        4.341            0      325.064       84.685       94.284
      504        3.893        4.311            0      332.562       88.460       93.770
      505        4.059        4.446            0      336.520      104.992       97.127
      506        3.897        4.321            0      333.720      103.327       93.043
      507        3.377        4.370            0      323.232      102.692       99.801
      508        3.596        4.440            0      335.579      100.559       99.326
      509        3.611        4.664            0      333.570       99.800       97.510
      510        4.403        4.278            0      325.596      109.444       92.707
      511        4.378        4.185            0      324.375       82.499       76.708
      512        4.476        4.024            0      329.973      130.263       80.678
      513        4.551        4.149            0      321.902      154.103       93.709
      514        4.346        4.048            0      319.759       89.541       88.078
      515        3.420        4.719            0      347.595      133.243       93.540
      516        3.686        4.102            0      323.997      148.395       94.319
      517        3.409        4.257            0      327.042      121.989       96.357
      518        3.579        4.316            0      329.587      100.806       95.804
      519        2.975        4.394            0      325.826      129.645       96.152
      520        4.293        3.721            0      306.235      103.234       77.227
      521        3.984        4.341            0      334.456      136.755       92.578
      522        4.326        4.216            0      321.780      129.440       95.657
      523        4.046        4.381            0      333.236      129.948       94.148
      524        4.168        4.139            0      336.677      132.164       80.101
      525        3.993        4.099            0      336.634      108.225       90.119
      526        3.662        4.365            0      324.310       81.350       98.121
      527        4.286        4.218            0      325.574      130.003       95.711
      528        4.350        4.062            0      317.956      124.666       97.274
      529        4.146        4.044            0      330.204      105.746       93.911
      530        4.007        4.029            0      324.261      124.248       94.760
      531        4.433        3.928            0      319.180      135.431       92.973
      532        4.176        3.922            0      324.029       80.254       94.438
      533        4.233        4.049            0      319.650       98.894       99.338
      534        4.182        3.857            0      322.086       83.956       94.857
      535        4.331        4.151            0      335.797       85.508       96.033
      536        4.632        4.048            0      336.128       85.064       88.559
      537        4.342        3.818            0      311.879       53.419       90.770
      538        4.368        3.829            0      316.786       62.493       90.738
      539        4.491        3.643            0      307.736       70.402       91.540
      540        4.509        3.710            0      310.277       56.338       90.564
      541        4.366        3.853            0      315.891       81.585       93.980
      542        4.503        3.924            0      316.713      108.274       86.872
      543        4.591        3.833            0      315.348       92.919       84.352
      544        4.150        4.035            0      335.387      103.625       94.424
      545        4.319        3.999            0      324.236       88.819       95.139
      546        4.824        3.755            0      316.615      151.446       52.516
      547        4.270        3.751            0      309.168       69.193       93.284
      548        4.859        3.742            0      309.819       87.485       72.249
      549        4.252        3.820            0      314.689       74.985       91.702
      550        4.334        3.723            0      310.942       65.353       90.768
